declarationRequestNumber,region,stateAbbreviation,state,tribalRequest,declarationRequestDate,declarationRequestType,incidentName,requestedIncidentTypes,requestedIncidentBeginDate,requestedIncidentEndDate,currentRequestStatus,requestStatusDate,ihProgramRequested,iaProgramRequested,paProgramRequested,hmProgramRequested,incidentId,incidentBeginDate,id
23019,9,HI,Hawaii                        ,0,2023-01-20T00:00:00.000Z,Major Disaster,Mauna Loa Volcanic Eruption,Volcanic Eruption,2022-11-27T00:00:00.000Z,2022-12-16T00:00:00.000Z,Turndown,2023-03-01T00:00:00.000Z,0,0,1,1,2022120301,2022-11-28T00:00:00.000Z,58bd90b7-1778-4dcb-a2f6-78efc366c18e
23020,10,OR,Oregon                        ,0,2023-02-28T00:00:00.000Z,Major Disaster,OR - Severe Winter Storm,Severe Storm,2022-12-26T00:00:00.000Z,2022-12-31T00:00:00.000Z,Turndown,2023-04-05T00:00:00.000Z,0,0,1,1,2023020101,2022-12-26T00:00:00.000Z,7ec910e8-77d6-49d0-be81-b4c2b3b99fbe
23026,8,ND,North Dakota                  ,0,2023-03-21T00:00:00.000Z,Major Disaster,ND freezing fog,Freezing,2023-01-16T00:00:00.000Z,2023-01-20T00:00:00.000Z,Turndown,2023-05-09T00:00:00.000Z,0,0,1,1,2023031701,2023-01-16T00:00:00.000Z,55e806f3-b013-4581-83b1-6fbb8da048ad
23040,5,IL,Illinois                      ,0,2023-04-05T00:00:00.000Z,Emergency,R5-Illinois-March 31st Severe Storms Tornadoes ,Severe Storm,2023-03-31T00:00:00.000Z,2023-04-01T00:00:00.000Z,Turndown,2023-05-06T00:00:00.000Z,0,0,1,0,2023041002,2023-03-31T00:00:00.000Z,13af15eb-5cf3-46c8-aef8-05061dcbc33f
23051,1,NH,New Hampshire                 ,0,2023-05-12T00:00:00.000Z,Major Disaster,Severe Winter Storm ,Snowstorm,2023-03-13T00:00:00.000Z,2023-03-15T00:00:00.000Z,Turndown,2023-06-12T00:00:00.000Z,0,0,1,1,2023032901,2023-03-13T00:00:00.000Z,04f5ebf8-c0a3-4bf2-9621-48ec94563225
23055,4,GA,Georgia                       ,0,2023-05-26T00:00:00.000Z,Major Disaster,Severe Weather,Severe Storm,2023-03-25T00:00:00.000Z,2023-03-27T00:00:00.000Z,Turndown,2023-08-22T00:00:00.000Z,1,0,1,1,2023032302,2023-03-24T00:00:00.000Z,1b64be82-6c79-48cb-b726-d4d3b355223f
23057,7,IA,Iowa                          ,0,2023-06-06T00:00:00.000Z,Emergency,R7 Iowa Building Collapse,Other,2023-05-28T00:00:00.000Z,2023-05-28T00:00:00.000Z,Turndown,2023-06-28T00:00:00.000Z,0,0,1,0,2023060701,2023-05-28T00:00:00.000Z,de052ba5-99d7-478f-b357-39d83d06049a
23060,5,MI,Michigan                      ,0,2023-06-15T00:00:00.000Z,Major Disaster,Flooding/ Spring Thaw/ Snow Melt MI,Flood,2023-04-10T00:00:00.000Z,2023-05-14T00:00:00.000Z,Turndown,2023-08-25T00:00:00.000Z,0,0,1,1,2023051102,2023-04-10T00:00:00.000Z,8e64a8a4-027b-497a-9e41-07732a54cbd8
23066,10,AK,Alaska                        ,1,2023-06-29T00:00:00.000Z,Emergency,Severed Fiber Optic Cable,Other,2023-06-10T00:00:00.000Z,,Turndown,2023-07-24T00:00:00.000Z,0,0,1,0,2023070601,2023-06-10T00:00:00.000Z,5854e20c-781a-428d-82a7-13dd8799cc56
23079,1,NH,New Hampshire                 ,0,2023-07-28T00:00:00.000Z,Major Disaster,Flooding ,Flood,2023-04-30T00:00:00.000Z,2023-05-01T00:00:00.000Z,Turndown,2023-09-26T00:00:00.000Z,0,0,1,1,2023051002,2023-04-30T00:00:00.000Z,85298154-0bce-45e1-bd17-21558bf79b07
23082,3,PA,Pennsylvania                  ,0,2023-07-31T00:00:00.000Z,Major Disaster,R3_07092023 Severe Storms and Flooding _PA,Flood,2023-07-09T00:00:00.000Z,2023-07-09T00:00:00.000Z,Turndown,2023-09-26T00:00:00.000Z,1,0,1,1,2023071702,2023-07-09T00:00:00.000Z,b637fdab-980b-4e17-a5f3-5a7cbead7fc1
23094,7,IA,Iowa                          ,0,2023-06-20T00:00:00.000Z,Major Disaster,R7 Iowa Building Collapse,Other,2023-05-28T00:00:00.000Z,2023-05-28T00:00:00.000Z,Turndown,2023-08-15T00:00:00.000Z,0,0,1,0,2023060701,2023-05-28T00:00:00.000Z,1de1edca-09dd-415b-894c-f41f05ed2558
23099,4,KY,Kentucky                      ,0,2023-08-18T00:00:00.000Z,Major Disaster,Severe Storms straight-line winds & flash flooding,Severe Storm,2023-07-17T00:00:00.000Z,2023-07-20T00:00:00.000Z,Turndown,2023-09-26T00:00:00.000Z,1,0,0,0,2023073102,2023-07-16T00:00:00.000Z,721487fb-8cc7-4593-8b2a-5bb624216daa
23117,10,AK,Alaska                        ,0,2023-09-05T00:00:00.000Z,Major Disaster,Mendenhall Glacier Dam Burst,Dam/Levee Break,2023-08-04T00:00:00.000Z,2023-08-06T00:00:00.000Z,Turndown,2023-09-26T00:00:00.000Z,1,0,1,1,2023081501,2023-08-05T00:00:00.000Z,3dd98085-ae54-4a16-ae30-70d2b5bb1090
